Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Аврамчук;Йосип;Ярославович;Чоловік;1980-07-28;Футболіст;місто Кагарлик;парк Балтський 8-й, буд. 854, Докучаєвськ, 66824;518-53-21;chuikobohdan@example.com
Іващенко;Костянтин;Олександрович;Чоловік;1981-06-20;Електромонтер;місто Берислав;проспект Леваневського, буд. 83 кв. 988, Шумськ, 57246;551 98 40;velychkoillia@example.net
Дзиндра;Ганна;Ярославівна;Жінка;1939-09-21;Флорист;хутір Нове Давидково;вулиця Суднобудівний, буд. 56 кв. 9, Свалява, 76420;+380 64 909 00 71;ievakonoplenko@example.net
Притула;Аліна;Петрівна;Жінка;1959-05-21;Водій;селище Херсон;площа Дунаєвського, буд. 30, Ватутіне, 84966;+380 47 851-40-60;wkybkalo@example.com
Бебешко;Аліна;Юріївна;Жінка;2000-11-19;Філолог;село Марганець ;провулок Чорноморський 6-й, буд. 41 кв. 0, Міусинськ, 86682;074 295-61-59;ziefymenko@example.org
Рубан;Захар;Васильович;Чоловік;2003-11-05;Мовознавець;селище Золочів;проспект Небесної Сотні, буд. 88 кв. 9, Корсунь-Шевченківський, 25985;986-63-37;oresttykhyi@example.com
Вергун;Венедикт;Андрійович;Чоловік;1991-08-22;Скульптор;хутір Покров;провулок Середня, буд. 337, Бібрка, 56429;+380 03 254-15-84;yishchak@example.net
Малишко;Златослава;Юріївна;Жінка;1970-01-08;Гицель;місто Фастів;парк Морехідний, буд. 655, Вишгород, 38141;295 73 98;shcherbanartem@example.net
Оліфіренко;Мирослав;Євгенович;Чоловік;1959-10-20;Кінокритик;село Святогірськ;площа Лузанівський 2-й, буд. 06, Новоград-Волинський, 38401;+380 79 816 32 02;stanislavderkach@example.org
Євтушок;Віра;Федорівна;Жінка;2007-09-13;Архітектор;хутір Камінь-Каширський;вулиця Лінія 25-та, буд. 0, Бунге , 73171;+380 (34) 144-15-50;skopenkoiakiv@example.com
Орлик;Єва;Петрівна;Жінка;2001-08-16;Археолог;місто Новий Калинів;сквер Житомирський 3-й, буд. 04, Феодосія, 68450;469 97 99;shvaikaarsen@example.com
Гречаник;Єва;Євгенівна;Жінка;1955-06-20;Кінорежисер;село Сарни;площа Горіхова, буд. 96 кв. 243, Жидачів, 48693;444-54-43;parmen74@example.net
Вишиваний;Марко;Олександрович;Чоловік;1992-10-07;Фольклорист;селище Борзна;площа Дзвінка, буд. 49, Калуш, 58861;030 25 16;fbezborodko@example.org
Вдовиченко;Федір;Сергійович;Чоловік;1997-08-13;Філолог;село Яготин;площа Ботанічний, буд. 97 кв. 8, Радомишль, 77249;429-59-59;venedykt07@example.net
Чередник;Аарон;Михайлович;Чоловік;1997-04-06;Випробувач;хутір Миколаївка ;шосе Український 1-й, буд. 223, Маріуполь, 82303;+380 (92) 594-62-03;solomiiaderhach@example.org
Єрьоменко;Маруся;Анатоліївна;Жінка;1966-07-09;Педагог;село Київ;узвіз Тупиковий 1-й, буд. 47, Первомайськ, 46841;214-92-29;khrystyna68@example.com
Зубко;Степан;Сергійович;Чоловік;1944-02-12;Електрик;селище Бахчисарай;набережна Нежданової, буд. 76 кв. 6, Подільськ, 71518;033 670-21-22;taras03@example.org
Дубенко;Ростислав;Володимирович;Чоловік;1940-02-01;Ґрунтознавець;хутір Дебальцеве;проспект Кустанайський 2-й, буд. 8 кв. 591, Коростишів, 69629;+380 48 434 22 32;anton87@example.com
Рубець;Демʼян;Юрійович;Чоловік;1948-07-15;Реабілітолог;місто Теребовля;площа Лютневий 2-й, буд. 1 кв. 461, Ізмаїл, 09716;549-30-22;rozaliia13@example.net
Яремко;Герман;Федорович;Чоловік;1995-07-23;Актор;місто Новояворівськ;площа Дзвінка, буд. 9 кв. 870, Горішні Плавні, 70316;+380 32 173-06-02;baranetsmartyn@example.com
Романчук;Федір;Петрович;Чоловік;1981-09-01;Мінералог;хутір Южне;парк Український 2-й, буд. 49 кв. 3, Богуслав, 95167;327-25-23;iermolenkomaryna@example.org
Вернигора;Ліза;Михайлівна;Жінка;1992-11-04;Соціолог;місто Енергодар;парк Восьмого березня 2-й, буд. 851, Комарно, 38755;704-44-41;mykytahuzenko@example.net
Негода;Єлисей;Дмитрович;Чоловік;2004-04-25;Електромонтер;хутір Попасна;шосе Бреуса, буд. 67 кв. 899, Тульчин, 63002;082-74-47;izaruba@example.org
Ванченко;Герман;Юрійович;Чоловік;1942-12-17;Філолог;село Попасна;набережна Семінарська, буд. 97, Надвірна, 03540;+380 72 493-30-49;edashkevych@example.com
Мірошниченко;Валерій;Георгійович;Чоловік;1997-07-02;Мистецтвознавець;місто Бобринець;сквер Лиманчик 2-й Лінія 5-та, буд. 6 кв. 2, Українка , 63470;081-39-56;iukhym28@example.org
Наливайко;Ірена;Дмитрівна;Жінка;1990-02-06;Реабілітолог;селище Лисичанськ;вулиця Лузанівка, буд. 82 кв. 0, Заліщики, 65037;655 79 52;wandriishyn@example.org
Корбут;Роксолана;Вікторівна;Жінка;2002-07-07;М'ясник;хутір Вараш;набережна Калнишевського Петра, буд. 5 кв. 923, Лохвиця, 83425;092 411 58 26;veniiamynchupryna@example.org
Михайлюк;Хома;Федорович;Чоловік;1945-09-03;Стоматолог;село Коростишів;набережна Пестеля, буд. 0, Кривий Ріг, 39275;489 76 17;edanylenko@example.com
Гаврилишин;Віктор;Дмитрович;Чоловік;1957-11-06;Краєзнавець;місто Лутугине;проспект Садова 2-га, буд. 699, Сімферополь, 79452;077 304 68 84;stepan89@example.net
Остапчук;Ганна;Юріївна;Жінка;1938-03-07;Співак;село Старий Самбір;узвіз Парашутний, буд. 860 кв. 10, Міусинськ, 91692;046 752 42 48;wnesterenko@example.org
Опанасенко;Ірина;Василівна;Жінка;2008-06-12;Правник;хутір Липовець;сквер Юхима Фесенка, буд. 519 кв. 9, Червоноград, 30832;571 19 61;shchyrytsiairyna@example.com
Юхименко;Федір;Аркадійович;Чоловік;2001-01-04;Історик;хутір Вовчанськ;вулиця Кустанайський 2-й, буд. 31 кв. 19, Сулимівка (Слов'янськ), 57395;+380 69 982-78-78;vadym64@example.net
Ґерета;Артем;Борисович;Чоловік;2006-06-12;Модель;селище Славутич;шосе 11-та ст. Великого Фонтану пляж, буд. 02, Жашків, 81410;+380 21 709-46-94;chaikavarfolomii@example.net
Данько;Климент;Юрійович;Чоловік;1956-06-01;Ді-джей;село Луцьк;парк Лядова, буд. 4, Теплодар, 15133;+380 92 276 16 48;zlatoslava85@example.org
Джус;Наталія;Андріївна;Жінка;2008-06-16;Реабілітолог;село Теребовля;набережна Вєтрова, буд. 93 кв. 84, Теплодар, 26390;160 82 06;amaliia30@example.net
Цимбалюк;Нестор;Євгенович;Чоловік;1960-11-17;Фізик;хутір Тараща;узвіз Луцька, буд. 79, Трускавець, 19162;087 822-58-45;hupaloroman@example.org
Левченко;Єлисей;Тимофійович;Чоловік;1995-06-27;Промисловець;місто Бурштин ;проспект Маковий, буд. 1, Керч, 58313;148 91 71;kharchenkosviatoslava@example.org
Сиротенко;Мілена;Борисівна;Жінка;1966-12-04;Стропальник;хутір Іршава;проспект Старокінний, буд. 8, Чернігів, 03220;065 132-19-18;otsisyk@example.com
Байрак;Азар;Ярославович;Чоловік;1964-02-19;Футболіст;хутір Гола Пристань;парк Промислова, буд. 235 кв. 21, Верхньодніпровськ, 48511;305 83 58;milena68@example.org
Оліфіренко;Єва;Тимофіївна;Жінка;1955-01-10;Фрілансер;хутір Лозова ;сквер Житомирський 3-й, буд. 55, Бершадь, 90745;+380 (84) 362-99-16;albina89@example.net
Павлик;Ігнат;Ярославович;Чоловік;1967-09-30;Актор;хутір Родинське;сквер Некрасова, буд. 34 кв. 789, Умань, 41042;+380 (64) 281-05-10;darynazinchenko@example.org
Девдюк;Маруся;Олександрівна;Жінка;2001-11-16;Машиніст;хутір Рахів;провулок Пересипська 6-та, буд. 058 кв. 3, Канів, 62243;+380 (43) 419-81-84;thuzii@example.com
Опанасенко;Аркадій;Євгенович;Чоловік;2003-05-07;Реабілітолог;село Рені;шосе Слов'янська, буд. 061, Івано-Франківськ, 80846;+380 (77) 376-59-88;azarhaidai@example.net
Бабко;Вікторія;Андріївна;Жінка;2007-03-31;Агроном;селище Липовець;шосе Глазунова, буд. 72, Алчевськ, 20450;089 142 28 51;albertdavymuka@example.net
Яремків;Єлисавета;Аркадіївна;Жінка;1951-03-06;Музикознавець;селище Алчевськ;провулок Північний, буд. 606 кв. 978, Радивилів, 08066;287-23-42;andriiovychvasylyna@example.com
Чабан;Вікторія;Аркадіївна;Жінка;1974-05-14;Круп'є;місто Тячів;набережна Депутатський, буд. 3, Бережани, 17286;+380 00 786-25-32;nestor35@example.org
Ейбоженко;Олена;Анатоліївна;Жінка;1965-02-25;Льотчик;місто Золоте;провулок Слави, буд. 069 кв. 178, Довжанськ, 44907;779-46-02;ynestaiko@example.com
Рубан;Лілія;Андріївна;Жінка;1972-05-29;Ботанік;хутір Донецьк;проспект Чапаєва 2-й, буд. 93, Немирів, 89367;583 84 41;hshelest@example.org
Литвин;Святослав;Кузьмич;Чоловік;1981-01-10;Фармацевт;село Макіївка;шосе Васнецова, буд. 825, Бердянськ, 55288;+380 (87) 318-52-10;andriiandreiko@example.com
Дахно;Леон;Васильович;Чоловік;1945-01-31;Дипломат;село Херсон;набережна Українська, буд. 10, Олександрія, 30671;+380 58 830-82-30;lesierchenko@example.com
Філіпенко;Ірена;Анатоліївна;Жінка;1958-03-15;Диригент;село Білопілля;парк Ялинковий, буд. 764 кв. 7, Боково-Хрустальне, 69922;892 34 93;alinasomko@example.org
Павленко;Нестор;Петрович;Чоловік;2004-08-25;Фермер;місто Кривий Ріг;набережна Гімназична, буд. 226, Сарни, 64962;007 138-00-33;pkaras@example.com
Шелест;Борис;Вікторович;Чоловік;1958-06-27;Ювелір;місто Великі Мости;провулок Магнітогорський 3-й, буд. 028 кв. 95, Сокаль, 68934;097 824-29-46;spas40@example.com
Гайворонський;Климент;Дмитрович;Чоловік;2003-04-18;Євнух;хутір Броди;шосе Біляївська, буд. 75 кв. 253, Теплодар, 47790;055 514 51 78;oleksandrievtushok@example.net
Аврамчук;Онисим;Михайлович;Чоловік;1968-08-31;Інженер;село Кагарлик;шосе Купріна, буд. 74, Овруч, 21955;+380 (10) 158-16-13;protsenkoiarema@example.com
Франчук;Августин;Георгійович;Чоловік;1941-03-01;Золотар;місто Радехів;узвіз Кленова, буд. 753, Новоукраїнка, 83184;055 573-11-24;gorlyk@example.net
Охріменко;Олег;Юрійович;Чоловік;1939-02-08;Мірошник;хутір Зимогір'я;площа Деревообробний 1-й, буд. 79, Ковель, 11230;010 459 28 31;marianababiuk@example.com
Петлюра;Роксолана;Ярославівна;Жінка;1940-12-02;Швачка;місто Балаклія;проспект Газовий, буд. 20 кв. 562, Ясинувата, 33200;+380 54 317 15 42;hshcherbak@example.com
Вітер;Роксолана;Борисівна;Жінка;1947-11-28;Ботанік;місто Кальміуське;провулок Кривобалківська, буд. 30, Чистякове, 27228;074 066-71-18;whohol@example.net
Жарко;Ярослав;Володимирович;Чоловік;1970-01-22;Стоматолог;місто Рожище;проспект Горизонтальна, буд. 74, Харків, 20061;029 199-69-59;trokhym41@example.net
Сагаль;Анастасія;Аркадіївна;Жінка;1939-12-02;Клоун;село Бунге ;узвіз Чорноморський 7-й, буд. 3, Радомишль, 23089;094 228-13-79;ierchenkofrants@example.org
Хоменко;Аарон;Михайлович;Чоловік;1994-10-19;Графік;селище Здолбунів;сквер Жевахова, буд. 830 кв. 795, Молодогвардійськ, 41859;+380 17 252-00-03;lbashpolchenko@example.com
Лукаш;Мілена;Федорівна;Жінка;2006-06-19;Кінолог;селище Берегове;шосе Ангарська, буд. 3 кв. 260, Сарни, 06596;069 039-91-08;iustym26@example.org
Дейсун;Єлисавета;Олександрівна;Жінка;1979-12-05;Економіст;селище Торецьк;площа Утьосова, буд. 27 кв. 795, Яворів, 01537;616-12-19;ieva52@example.com
Лазаренко;Христина;Іванівна;Жінка;1948-01-30;Електромонтер;селище Горішні Плавні;проспект Чехова, буд. 4 кв. 6, Березівка, 10004;054 436-02-45;petrykemiliia@example.com
Вдовиченко;Венедикт;Євгенович;Чоловік;1982-11-28;Кіноактор;хутір Теребовля;сквер Єврейська, буд. 084 кв. 0, Кіцмань, 71522;256 93 62;korolenkoonysym@example.org
Наливайко;Трохим;Борисович;Чоловік;1966-10-21;Флорист;село Первомайський ;проспект Офіцерський 2-й, буд. 591, Чистякове, 81554;+380 34 792 20 61;masokhahordii@example.org
Голобородько;Георгій;Вікторович;Чоловік;2005-10-10;Музикант;селище Суми;узвіз Угорська, буд. 98, Могилів-Подільський, 73090;+380 59 331-41-58;mshcherbak@example.net
Даценко;Климент;Сергійович;Чоловік;1942-12-30;Дантист;селище Скалат;вулиця Підйомний, буд. 1, Хмільник, 29428;091 618 99 07;aleksandrenkotymofii@example.org
Барабаш;Остап;Кузьмич;Чоловік;1987-10-29;Електрослюсар;хутір Вишневе ;провулок Учительський, буд. 90, Конотоп, 51658;+380 64 915 31 11;ygalagan@example.com
Жученко;Симон;Тимофійович;Чоловік;1958-12-10;Астронавт;село Ірміно;вулиця Травневий, буд. 140 кв. 7, Сміла, 54544;+380 32 008-32-58;asuprunenko@example.org
Дахно;Варвара;Анатоліївна;Жінка;1985-05-16;Науковець;хутір Новоград-Волинський;узвіз Толбухіна, буд. 6, Вознесенівка, 31136;051 666-96-62;kylymnykpanas@example.org
Цушко;Борислав;Георгійович;Чоловік;1972-06-26;Мінералог;місто Моспине;сквер Одеський, буд. 252, Олешки, 66491;+380 (00) 659-09-76;sandroshchuk@example.com
Абрагамовський;Лариса;Федорівна;Жінка;1967-04-30;Піаніст;місто Середина-Буда;площа Калнишевського Петра, буд. 1 кв. 41, Шпола, 85409;074 991 25 51;isaienkorozaliia@example.com
Бабенко;Христина;Георгіївна;Жінка;2000-02-26;Лікар;хутір Охтирка;парк Героїв прикордонників, буд. 07, Севастополь, 14614;481 69 64;marusiakhrystenko@example.net
Бгиденко;Орест;Георгійович;Чоловік;1974-01-24;Літературознавець;місто Берегове;сквер Верф’яний, буд. 7 кв. 01, Київ, 13656;012 821 16 34;tesliavioletta@example.net
Щербак;Тарас;Юрійович;Чоловік;1976-02-15;Сценарист;селище Олександрія;площа Новоберегова, буд. 98, Каховка, 98117;224-64-68;teodorzinchenko@example.org
Тесленко;Оксана;Борисівна;Жінка;1967-04-07;Педагог;місто Рені;парк Сухолиманна, буд. 2 кв. 71, Гайсин, 01612;+380 47 952-15-26;volodymyr65@example.org
Шовкопляс;Христина;Кузьмівна;Жінка;1948-09-30;Водій;місто Самбір;провулок Кипарисний 3-й, буд. 0, Сокаль, 09883;+380 (65) 771-20-55;alevtynfomenko@example.com
Вакуленко;Вадим;Андрійович;Чоловік;1997-12-16;Дерун;селище Дубно;узвіз Проїзний 1-й, буд. 641, Хмільник, 39132;078 839-48-78;mykolaialeksandrenko@example.com
Верес;Симон;Юрійович;Чоловік;1942-12-31;Сценарист;місто Калинівка ;парк 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 894, Прип'ять , 81267;012 463-14-11;vadymkarpa@example.com
Юхименко;Марія;Іванівна;Жінка;1978-06-08;Літературознавець;селище Зоринськ;сквер Ткачова, буд. 100, Енергодар, 92020;+380 (30) 531-29-41;darynahrytsenko@example.com
Василечко;Данило;Андрійович;Чоловік;1999-06-01;Гірничий інженер;селище Одеса;провулок Аеродромний 1-й, буд. 48 кв. 92, Сарни, 71330;+380 36 620 50 28;vitalii49@example.com
Талан;Григорій;Васильович;Чоловік;1959-12-25;Підприємець;селище Кам'янець-Подільський;вулиця Хімічний 1-й, буд. 3 кв. 5, Заставна, 29012;968 29 32;bfastenko@example.com
Демʼяненко;Пріска;Анатоліївна;Жінка;1967-10-17;Нотаріус;хутір Гайсин;вулиця Магнітогорська, буд. 811 кв. 07, Синельникове, 96453;085 731-78-37;nfastenko@example.org
Батюк;Орися;Вікторівна;Жінка;1943-07-26;Модельєр;селище Марганець ;проспект Олександрівський, буд. 07 кв. 089, Мирноград, 60993;+380 54 159-30-72;albinahuz@example.org
Гузь;Ігнат;Анатолійович;Чоловік;1992-02-02;Прокурор;хутір Гадяч;набережна Машинобудівний, буд. 416, Новоград-Волинський, 46096;004 673 86 91;mariia29@example.com
Петренко;Геннадій;Тимофійович;Чоловік;2006-08-04;Ґрунтознавець;село Керч;набережна 11-та Лінія Марії Демченко, буд. 104 кв. 1, Олевськ, 56764;+380 66 570-55-30;idavydenko@example.org
Твердохліб;Кирило;Михайлович;Чоловік;1972-09-23;Кухар;хутір Донецьк;сквер Відважних, буд. 714 кв. 854, Суходільськ, 23035;+380 60 178-13-99;dverhun@example.org
Москаль;Лілія;Михайлівна;Жінка;1938-02-21;Філолог;село Апостолове;шосе Лиманчик 2-й Лінія 4-та, буд. 436 кв. 8, Устилуг, 58894;+380 29 577 29 34;myron02@example.net
Щорс;Юстим;Юрійович;Чоловік;1984-10-09;Кінокритик;місто Лохвиця;узвіз Ушакова, буд. 973 кв. 4, Ворожба, 98385;082 489 50 62;huziiorkhyp@example.org
Худяк;Іван;Ярославович;Чоловік;1993-09-23;Дипломат;селище Костопіль;провулок Олексіївська, буд. 95 кв. 70, Ланівці, 74427;+380 (80) 097-55-34;olhakorbut@example.net
Гунько;Артем;Кузьмич;Чоловік;2001-06-19;Біолог;хутір Заліщики;сквер Малиновський, буд. 2, Кипуче, 41840;036 397-74-13;bezborodkyalla@example.net
Ткаченко;Аніта;Іванівна;Жінка;1998-02-19;Фотограф;місто Жмеринка;парк Тираспольське, буд. 56 кв. 6, Синельникове, 75992;383 75 73;emiliia34@example.org
Скорик;Ігнат;Сергійович;Чоловік;1997-03-18;Модельєр;хутір Красногорівка;проспект 9-та Суворовська, буд. 38 кв. 35, Бершадь, 27115;570 97 50;mykhailiukmykyta@example.org
Лесик;Марта;Тимофіївна;Жінка;2000-11-10;Живописець;селище Попасна;проспект Успенський, буд. 85 кв. 887, Українка , 43651;083 273 43 84;hvakarchuk@example.org
Джус;Лариса;Петрівна;Жінка;1978-04-25;Епідеміолог;село Зборів;проспект Товарний, буд. 625, Берислав, 91073;616 92 65;larysa65@example.net
Ребрик;Галина;Георгіївна;Жінка;1975-10-04;Мікробіолог;місто Євпаторія;проспект Флотська, буд. 902 кв. 4, Джанкой, 37603;+380 38 167 91 61;illia00@example.net
Гайденко;Варфоломій;Федорович;Чоловік;1949-03-07;Хореограф;село Рожище;проспект Одарія, буд. 884 кв. 019, Старобільськ, 22781;923 58 49;qorobets@example.org
Єсипенко;Олесь;Тимофійович;Чоловік;1973-12-30;Провізор;хутір Рубіжне;сквер Соборна, буд. 70 кв. 963, Рівне, 94420;888-11-47;stanislav12@example.org
